img_path|caption|noun
dev-244-0-img0|a bottle with some drink in it. In the background, we can see a toy car and a wall|Bottles
dev-63-0-img1|a paper roll|Paper Roll
dev-1042-0-img0|a person in the water. We can also see some plants and a jellyfish|Plants
dev-1044-1-img1|Two rays swim gracefully in the vast blue sea, their tails flowing behind. The ray's face is white, its mouth agape. The water is crystal clear, revealing the intricate rock formations beneath. A school of fish, some green and some yellow, swim alongside the rays. The coral reef teems with life, its pink coral glowing in the sunlight. The whale shark, a majestic creature, glides effortlessly through the water, its dorsal fin protruding. The ray's tail is tipped with black, and its eyes shine brightly. The fish are small, their bodies moving in the breeze. The scene is outdoors, capturing the perfect harmony between humans and nature|Whale Shark
dev-1042-2-img1|A scuba diver swimming next to a large green jellyfish in a deep blue ocean. The diver is wearing a black and white wetsuit and has a large white tank attached to their back. The jellyfish has a long white tail and multiple tentacles. The diver is blowing bubbles out of their tank and the air bubbles are floating in the water. The sea creature has an open mouth and the diver is swimming towards the sea creature|Jellyfish
dev-150-2-img1|a dog and poles. In the background of the image there is a wall. At the bottom of the image there is grass|Dog
dev-150-2-img1|a dog and poles. In the background of the image there is a wall. At the bottom of the image there is grass|Dogs
dev-150-3-img1|a dog running on the ground. In the background we can see grass and flowers|Dog
dev-104-0-img0|a food item on the plate|Food item
dev-104-3-img1|A pile of golden brown onion rings sits on a white table, served in a restaurant. The onion rings are crispy on the outside and soft on the inside. A dipping sauce is visible on the table next to the rings. The onion rings are served with a side of fries|Fries
dev-630-3-img1|A large electric ray is swimming in a large tank of bright blue water. The ray has a prickly body and a tail with a fin. The ray is swimming near the surface of the water, and its tail is flowing behind it. The water behind the ray is dark blue, and the wall next to the ray has holes in it. The ray is illuminated by light shining on its back. The fish in the background are yellow and orange|Ray
dev-940-1-img0|A manta ray gracefully glides through the turquoise waters of the ocean, its wings extended. The ray's black spots contrast vividly against its white body, while its gray stipes add a touch of whimsy. The manta's eye, a vibrant shade of black, shines with an enigmatic glow. The reef below the ray teems with vibrant colors, creating a symphony of colors. The manta's tail extends gracefully behind its body, a testament to its strength and resilience. The water ripples beneath the ray, mirroring its gentle movements. The ray's mouth is open, as if in a serene slumber, while its fins propel it forward|Marketplace
dev-1042-0-img1|a jellyfish in the water. In the background, we can see a rock|Rock
dev-12-3-img0|A dog rests peacefully on the ground, its eyes closed and its head resting on a large brown stick. The dog's fur is soft and silky, and its coat is well-groomed. The dog's ears are perked up, and its nose is wrinkled. The dog appears to be asleep, and its paw is touching the ground. The ground is covered in rocks and leaves, and the tree trunk is brown. The dog is next to a big tree, and its front paw is on the ground. The leaves are brown, and the tree trunk is brown|Stick
dev-191-0-img0|A large brown dog sits comfortably on the grass, its head tilted towards the camera. The dog's brown eyes shine brightly, and its fluffy brown fur is visible. The tip of its nose is black, and its ear is perked up. The dog's head is full of fur, and its mouth is slightly open. The green grass beneath the dog is lush and soft, and a patch of green grass near the dog is visible. A pink flowering bush stands behind the dog, and purple flowers bloom near the house. The building behind the dog is tall and imposing, and a brick chimney protrudes from its roof. The dog's brown eyes reflect the sun, and its tail wags with joy|Dog
dev-158-2-img0|a dog. At the bottom of the image there is ground|Dog
dev-167-1-img1|two dogs running on the ground. In the background we can see a fence and a car|Dogs
