img_path|caption
dev-244-0-img0|a bottle with some drink in it. In the background, we can see a toy car and a wall.
dev-63-0-img1|a paper roll.
dev-1042-0-img0|a person in the water. We can also see some plants and a jellyfish.
dev-1044-1-img1|Two rays swim gracefully in the vast blue sea, their tails flowing behind. The ray's face is white, its mouth agape. The water is crystal clear, revealing the intricate rock formations beneath. A school of fish, some green and some yellow, swim alongside the rays. The coral reef teems with life, its pink coral glowing in the sunlight. The whale shark, a majestic creature, glides effortlessly through the water, its dorsal fin protruding. The ray's tail is tipped with black, and its eyes shine brightly. The fish are small, their bodies moving in the breeze. The scene is outdoors, capturing the perfect harmony between humans and nature.
dev-1042-2-img1|A scuba diver swimming next to a large green jellyfish in a deep blue ocean. The diver is wearing a black and white wetsuit and has a large white tank attached to their back. The jellyfish has a long white tail and multiple tentacles. The diver is blowing bubbles out of their tank and the air bubbles are floating in the water. The sea creature has an open mouth and the diver is swimming towards the sea creature.
dev-150-2-img1|a dog and poles. In the background of the image there is a wall. At the bottom of the image there is grass.
dev-150-2-img1|a dog and poles. In the background of the image there is a wall. At the bottom of the image there is grass.
dev-150-3-img1|a dog running on the ground. In the background we can see grass and flowers.
dev-104-0-img0|a food item on the plate.
dev-104-3-img1|A pile of golden brown onion rings sits on a white table, served in a restaurant. The onion rings are crispy on the outside and soft on the inside. A dipping sauce is visible on the table next to the rings. The onion rings are served with a side of fries.
dev-630-3-img1|A large electric ray is swimming in a large tank of bright blue water. The ray has a prickly body and a tail with a fin. The ray is swimming near the surface of the water, and its tail is flowing behind it. The water behind the ray is dark blue, and the wall next to the ray has holes in it. The ray is illuminated by light shining on its back. The fish in the background are yellow and orange.
dev-940-1-img0|A manta ray gracefully glides through the turquoise waters of the ocean, its wings extended. The ray's black spots contrast vividly against its white body, while its gray stipes add a touch of whimsy. The manta's eye, a vibrant shade of black, shines with an enigmatic glow. The reef below the ray teems with vibrant colors, creating a symphony of colors. The manta's tail extends gracefully behind its body, a testament to its strength and resilience. The water ripples beneath the ray, mirroring its gentle movements. The ray's mouth is open, as if in a serene slumber, while its fins propel it forward.
dev-1042-0-img1|a jellyfish in the water. In the background, we can see a rock.
dev-12-3-img0|A dog rests peacefully on the ground, its eyes closed and its head resting on a large brown stick. The dog's fur is soft and silky, and its coat is well-groomed. The dog's ears are perked up, and its nose is wrinkled. The dog appears to be asleep, and its paw is touching the ground. The ground is covered in rocks and leaves, and the tree trunk is brown. The dog is next to a big tree, and its front paw is on the ground. The leaves are brown, and the tree trunk is brown.
dev-191-0-img0|A large brown dog sits comfortably on the grass, its head tilted towards the camera. The dog's brown eyes shine brightly, and its fluffy brown fur is visible. The tip of its nose is black, and its ear is perked up. The dog's head is full of fur, and its mouth is slightly open. The green grass beneath the dog is lush and soft, and a patch of green grass near the dog is visible. A pink flowering bush stands behind the dog, and purple flowers bloom near the house. The building behind the dog is tall and imposing, and a brick chimney protrudes from its roof. The dog's brown eyes reflect the sun, and its tail wags with joy.
dev-158-2-img0|a dog. At the bottom of the image there is ground.
dev-167-1-img1|two dogs running on the ground. In the background we can see a fence and a car.
dev-167-3-img0|a person and a dog. In the background of the image there is a mesh, grass, plants, trees, stones and other objects. At the bottom of the image there is the grass and wooden sticks. On the right side of the image there is a person's leg.
dev-566-2-img1|a dog standing on the ground. In the background we can see a person standing, grass, plants and objects.
dev-1028-3-img1|a poster with some text and image.
dev-189-3-img0|A monkey, with its fuzzy brown hair and long furry tail, holds a baby monkey in its arms. The baby monkey has a long dark tail and its mouth is open. The mother monkey's ear is visible, and her eyes are focused on the baby. The baby monkey is gripping on its mother's back, its toes on the leg of the baby. The mother monkey is carrying her baby in her arms, and the baby monkey is hanging on to its mother's back. The fur of the monkey is soft and silky, and the baby monkey has a tiny tiny eye. The trees in the background are tall and green, and the sky is clear.
dev-115-1-img0|monkeys on the tree trunk.
dev-1004-1-img0|fishes and shells in the water.
dev-717-1-img0|A stingray is swimming in the ocean with other fish around it.
dev-630-0-img0|a fish in the water.
dev-418-0-img0|Two gorillas, one attacking the other, are depicted in this image. One gorilla has its mouth open and its tongue protruding, while the other gorilla has its hand raised in the air. The background is grassy, with trees on the right and a grassy area with leaves and small plants on the left. The log in front of the gorillas is prominent, and the mouth of the gorilla in the foreground is visible. The right gorilla's left arm, its curled fingernail on its paw, and its nose are also noticeable. The black fur on the gorilla's back is evident, and the plant growth behind the gorillas is plentiful.
dev-115-2-img0|Two monkeys play in the grass and dirt, their tails and hands moving freely. The trees stand tall behind them, their branches reaching towards the sky. The dirt beneath their feet is dark brown, and the grass is patchy and green. The monkeys are sitting and standing, their bodies moving in rhythm with the ground. The branches of the trees are bare, and the leaves are lush and green. The monkeys have dark fur on their heads and light fur on their bodies. The scene is taking place outdoors, and the mood is relaxed and playful.
dev-115-1-img1|two monkeys sitting on the rock. In the background we can see plants.
dev-1047-3-img0|a person is holding a syringe that is numbered from 0 to 6.
dev-1047-2-img1|a person's hand holding a syringe. In the background there are syringes placed on the surface.
dev-221-2-img0|Medical syringes with detachable needles, commonly used for injections and fluid administration.
dev-174-2-img0|weights placed on the stand.
dev-1010-1-img1|Two antelope race across a grassy field, their horns gleaming. The sun shines golden on the clouds, casting long shadows across the dry grassland. Tall African trees line the perimeter of the field, their branches reaching towards the sky. The tail of the antelope is thin and dark, contrasting against its white coat. The animals run in unison, their legs moving in rhythm with the land. The mountains loom large in the background, their dark peaks piercing through the clouds. The sky is filled with puffy white clouds, casting a soft glow over the landscape. The water near the grass flows peacefully, reflecting the afternoon light. The gazelle's head is visible, its front legs extending as it races forward. The animal's tail is long and grey, its fur brown and white.
dev-302-3-img0|A herd of zebra stand grazing on a dry grass field. The zebra's hind legs are extended as it feeds on the tall brown grass. The zebra's neck is bent forward, and its head is lowered to the ground. The sky is hazy blue with thin clouds. The trees grow tall in the distance. The grass is tall and brown. The zebra has black and white stripes. The picture is covered with a water mark.
dev-1010-1-img0|A gazelle stands gracefully in a field of tall, dried grass. Its brown coat and worn right ear are prominent features. The gazelle's horns, black eye, and black nose are also visible. The tall dried grass and green vegetation in the background provide a picturesque backdrop. The gazelle's eyes are forward-looking, and its tail is swished with a hint of black at the tip. The website address and a copyright symbol are displayed on the photo.
